District,BarId,UserId,Review,MadePhoto,Reaction
Dumskaya,52b89801498eb5da45f72173,34123819,fiyatları hemen hemen türkiyeyle aynı olan ama tatlıları buz gibi ve çok sert olan sonuna kadar yiyemeden kalktığım mekan.,False,disliked
Dumskaya,52b89801498eb5da45f72173,21135944,Персоналу не помешает выпить кофе и взбодриться,False,meh
Dumskaya,52b89801498eb5da45f72173,89006174,Хочу восточные кексы обратно! Душу продать готова!,False,liked
Dumskaya,52b89801498eb5da45f72173,73424289,Вкуснейшее кофе 🙋,False,liked
Dumskaya,52b89801498eb5da45f72173,53420008,"Неуютный интерьер, парфе-это кефир с мюслями, ну и невкусный кокосовый фраппучино... Все всегда нахваливают это ""модное"" веяние американщины, но видимо это просто не мое..  Радует только персонал..",False,
Dumskaya,52b89801498eb5da45f72173,93717108,"Очень огорчило отсутствие нормальной посуды, с нами не поздаровались и как-то грустно вообще все было; (",False,
Dumskaya,52b89801498eb5da45f72173,12764238,"Приехала в 22:10 а кофе без кофеина не попить! Хотя еще 50 минут до закрытия. А машину без кофеинового кофе уже закрыли. Пошла в кофешоп, благо тут рядом.",False,liked
Dumskaya,52b89801498eb5da45f72173,2960229,They should improve their service mind.,False,
Dumskaya,52b89801498eb5da45f72173,15732546,Удачное расположение,False,liked
Dumskaya,52b89801498eb5da45f72173,18957901,Кофе до сих пор только в одноразовой посуде. Говорят не завезли кружки,False,
Dumskaya,52b89801498eb5da45f72173,84127699,"Наверное, я жертва маркетологов, но Старбакс ванлав",False,
Dumskaya,52b89801498eb5da45f72173,24472634,стАрбакс и никак иначе❗️,False,
Dumskaya,52b89801498eb5da45f72173,55911316,"Лучше сходите в ""кофе на кухне""",False,disliked
Dumskaya,52b89801498eb5da45f72173,87575852,"Имбирный кофе не впечатлил, но кассиры общительные!",False,
Dumskaya,52b89801498eb5da45f72173,20507805,Отказались сделать толл флэт уайт по купону на др,False,
Dumskaya,52b89801498eb5da45f72173,17986517,"Места мало, сидеть не удобно , нет большого стола",False,meh
Dumskaya,52b89801498eb5da45f72173,70944905,"Как по мне, неадекватное соотношение цены- качества",False,disliked
Dumskaya,52b89801498eb5da45f72173,63362357,Латтэ яблочно-карамельный!,False,liked
Dumskaya,52b89801498eb5da45f72173,72460186,"Не понятно как расставлены места, их постоянно не хватает, хотя этот старбакс не меньше того что на маяковской.",False,liked
Dumskaya,52b89801498eb5da45f72173,20781645,Дорогой и сладкий кофе вёдрами на вынос ),False,meh
Dumskaya,52b89801498eb5da45f72173,51660077,Одноразовая посуда??!! 🙈🙊🙉,False,liked
Dumskaya,52b89801498eb5da45f72173,21375147,"Как обычно, perfect ☕️",False,
Dumskaya,52b89801498eb5da45f72173,57393765,"Атмосфера и американо норм. Каппучино отстой, делать не умеют, мыльные пузыри какие-то, и перегретое молоко.",False,disliked
Dumskaya,52b89801498eb5da45f72173,47879437,Мятный латте💚,False,liked
Dumskaya,52b89801498eb5da45f72173,50739751,#типичныйстарбакс,False,liked
Dumskaya,52b89801498eb5da45f72173,121594669,Это старбакс),False,liked
Dumskaya,52b89801498eb5da45f72173,38107327,Ягодно-йогуртный фраппучино редкостная кислятина,False,liked
Dumskaya,52b89801498eb5da45f72173,21153211,Ну вот. Зачем начинать мыть пол и задирать стулья вокруг меня за пол часа до закрытия?,False,
Dumskaya,52b89801498eb5da45f72173,14237241,Одна девочка только кофе делает. Очередь большущая,False,meh
